thscode,security_name,backward_cps
159941.SZ,纳指ETF广发,backward4
513100.SH,纳指ETF国泰,backward4
513500.SH,标普500ETF博时,backward4
159605.SZ,中概互联ETF广发,backward4
159607.SZ,中概互联网ETF嘉实,backward4
159740.SZ,恒生科技ETF大成,backward4
159892.SZ,恒生医药ETF华夏,backward4
159920.SZ,恒生ETF华夏,backward4
513010.SH,恒生科技ETF易方达,backward4
513050.SH,中概互联网ETF易方达,backward4
513060.SH,恒生医疗ETF博时,backward4
513090.SH,香港证券ETF易方达,backward4
513130.SH,恒生科技ETF华泰柏瑞,backward4
513180.SH,恒生科技ETF华夏,backward4
510900.SH,H股ETF,backward4
513550.SH,港股通50ETF华泰柏瑞,backward4
513580.SH,恒生科技ETF华安,backward4
513600.SH,恒生指数ETF南方,backward4
513660.SH,恒生ETF华夏,backward4
513850.SH,美国50ETF易方达,backward4
513890.SH,恒生科技ETF摩根,backward4
159866.SZ,日经ETF工银,backward4
513000.SH,日经225ETF易方达,backward4
513520.SH,日经ETF华夏,backward4
513880.SH,日经225ETF华安,backward4
513030.SH,德国ETF华安,backward4
513080.SH,法国ETF华安,backward4
159687.SZ,亚太精选ETF南方,backward4
159691.SZ,港股红利ETF工银,backward4
159792.SZ,港股通互联网ETF富国,backward4
159934.SZ,黄金ETF易方达,backward4
159937.SZ,黄金ETF博时,backward4
159985.SZ,豆粕ETF华夏,backward4
161226.SZ,白银LOF,backward4
518660.SH,黄金ETF工银,backward4
518800.SH,黄金ETF国泰,backward4
518880.SH,黄金ETF华安,backward4
159786.SZ,VRETF银华,backward4
159801.SZ,芯片ETF广发,backward4
159939.SZ,信息技术ETF广发,backward4
159995.SZ,芯片ETF华夏,backward4
512480.SH,半导体ETF国联安,backward4
512720.SH,计算机ETF国泰,backward4
512760.SH,芯片ETF国泰,backward4
515000.SH,科技ETF华宝,backward4
515050.SH,通信ETF华夏,backward4
515070.SH,人工智能ETF华夏,backward4
515080.SH,中证红利ETF招商,backward4
515230.SH,软件ETF国泰,backward4
515880.SH,通信ETF国泰,backward4
516510.SH,云计算ETF易方达,backward4
159566.SZ,储能电池ETF易方达,backward4
159611.SZ,电力ETF广发,backward4
159623.SZ,成渝经济圈ETF博时,backward4
159697.SZ,石油ETF鹏华,backward4
159752.SZ,新能源ETF申万菱信,backward4
159755.SZ,电池ETF广发,backward4
159757.SZ,电池ETF景顺,backward4
515030.SH,新能源车ETF华夏,backward4
515260.SH,电子ETF华宝,backward4
515700.SH,新能源车ETF平安,backward4
515790.SH,光伏ETF华泰柏瑞,backward4
516090.SH,新能源ETF易方达,backward4
516160.SH,新能源ETF南方,backward4
516260.SH,物联网ETF华夏,backward4
516930.SH,生物科技ETF民生加银,backward4
159562.SZ,黄金股ETF华夏,backward4
159883.SZ,医疗器械ETF永赢,backward4
159992.SZ,创新药ETF银华,backward4
512010.SH,医药ETF易方达,backward4
512170.SH,医疗ETF华宝,backward4
512290.SH,生物医药ETF国泰,backward4
512570.SH,证券ETF易方达,backward4
515710.SH,食品饮料ETF华宝,backward4
516650.SH,有色金属ETF华夏,backward4
516810.SH,农业ETF华夏,backward4
516820.SH,医疗创新ETF平安,backward4
159667.SZ,工业母机ETF国泰,backward4
159736.SZ,食品饮料ETF天弘,backward4
159766.SZ,旅游ETF富国,backward4
159996.SZ,家电ETF国泰,backward4
512600.SH,消费ETF嘉实,backward4
512690.SH,酒ETF鹏华,backward4
515170.SH,食品饮料ETF华夏,backward4
515330.SH,沪深300ETF天弘,backward4
515650.SH,消费50ETF富国,backward4
159842.SZ,券商ETF银华,backward4
510880.SH,红利ETF华泰柏瑞,backward4
512000.SH,券商ETF华宝,backward4
512800.SH,银行ETF华宝,backward4
512880.SH,证券ETF国泰,backward4
512890.SH,红利低波ETF华泰柏瑞,backward4
512900.SH,证券ETF南方,backward4
515010.SH,证券ETF华夏,backward4
515180.SH,红利ETF易方达,backward4
515290.SH,银行ETF天弘,backward4
515300.SH,300红利低波ETF嘉实,backward4
515450.SH,红利低波50ETF南方,backward4
515850.SH,证券ETF富国,backward4
512660.SH,军工ETF国泰,backward4
512670.SH,国防ETF鹏华,backward4
512710.SH,军工龙头ETF富国,backward4
159637.SZ,新能源车ETF东财,backward4
159869.SZ,游戏ETF华夏,backward4
159870.SZ,化工ETF鹏华,backward4
159980.SZ,有色ETF大成,backward4
159981.SZ,能源化工ETF建信,backward4
512400.SH,有色金属ETF南方,backward4
515210.SH,钢铁ETF国泰,backward4
515220.SH,煤炭ETF国泰,backward4
516120.SH,化工ETF富国,backward4
516150.SH,稀土ETF嘉实,backward4
516780.SH,稀土ETF华泰柏瑞,backward4
159875.SZ,新能源ETF嘉实,backward4
159890.SZ,云计算ETF招商,backward4
516010.SH,游戏ETF国泰,backward4
516110.SH,汽车ETF国泰,backward4
516850.SH,新能源ETF华夏,backward4
562880.SH,电池ETF嘉实,backward4
159901.SZ,深证100ETF易方达,backward4
159915.SZ,创业板ETF易方达,backward4
159919.SZ,沪深300ETF嘉实,backward4
159922.SZ,中证500ETF嘉实,backward4
159949.SZ,创业板50ETF华安,backward4
510050.SH,上证50ETF华夏,backward4
510180.SH,上证180ETF华安,backward4
510300.SH,沪深300ETF华泰柏瑞,backward4
510500.SH,中证500ETF南方,backward4
515750.SH,科技50ETF富国,backward4
588000.SH,科创50ETF华夏,backward4
588080.SH,科创50ETF易方达,backward4
588200.SH,科创芯片ETF嘉实,backward4
159673.SZ,沪深300ETF鹏华,backward4
159930.SZ,能源ETF汇添富,backward4
512580.SH,环保ETF广发,backward4
515900.SH,央企创新ETF博时,backward4
515960.SH,医药ETF嘉实,backward4
516920.SH,芯片ETF汇添富,backward4
516950.SH,基建ETF银华,backward4
516970.SH,基建ETF广发,backward4
511010.SH,国债ETF国泰,backward4
511020.SH,国债ETF平安,backward4
511220.SH,城投债ETF海富通,backward4
511260.SH,十年国债ETF国泰,backward4
511270.SH,10年地方债ETF海富通,backward4
511360.SH,短融ETF海富通,backward4
511880.SH,银华日利ETF,backward4
511990.SH,华宝添益ETF,backward4
159529.SZ,标普消费ETF景顺,backward4
512100.SH,中证1000ETF南方,backward4
512380.SH,MSCI中国ETF银华,backward4
513730.SH,东南亚科技ETF华泰柏瑞,backward4
02800.HK,盈富基金,backward
02828.HK,恒生中国企业,backward
02833.HK,恒生指数,backward
03086.HK,华夏纳指,backward
