thscode,security_name
600004.SH,白云机场
600008.SH,首创环保
600021.SH,上海电力
600032.SH,浙江新能
600038.SH,中直股份
600060.SH,海信视像
600062.SH,华润双鹤
600095.SH,湘财股份
600098.SH,广州发展
600100.SH,同方股份
600105.SH,永鼎股份
600109.SH,国金证券
600126.SH,杭钢股份
600131.SH,国网信通
600132.SH,重庆啤酒
600141.SH,兴发集团
600143.SH,金发科技
600153.SH,建发股份
600157.SH,永泰能源
600161.SH,天坛生物
600166.SH,福田汽车
600170.SH,上海建工
600171.SH,上海贝岭
600177.SH,雅戈尔
600208.SH,衢州发展
600256.SH,广汇能源
600282.SH,南钢股份
600292.SH,电投水电
600295.SH,鄂尔多斯
600298.SH,安琪酵母
600299.SH,安迪苏
600312.SH,平高电气
600316.SH,洪都航空
600329.SH,达仁堂
600332.SH,白云山
600339.SH,中油工程
600348.SH,华阳股份
600350.SH,山东高速
600352.SH,浙江龙盛
600363.SH,联创光电
600369.SH,西南证券
600377.SH,宁沪高速
600378.SH,昊华科技
600380.SH,健康元
600390.SH,五矿资本
600392.SH,盛和资源
600398.SH,海澜之家
600435.SH,北方导航
600483.SH,福能股份
600486.SH,扬农化工
600497.SH,驰宏锌锗
600498.SH,烽火通信
600499.SH,科达制造
600511.SH,国药股份
600516.SH,方大炭素
600517.SH,国网英大
600521.SH,华海药业
600535.SH,天士力
600536.SH,中国软件
600546.SH,山煤国际
600562.SH,国睿科技
600563.SH,法拉电子
600566.SH,济川药业
600578.SH,京能电力
600582.SH,天地科技
600583.SH,海油工程
600595.SH,中孚实业
600598.SH,北大荒
600601.SH,方正科技
600602.SH,云赛智联
600606.SH,绿地控股
600637.SH,东方明珠
600642.SH,申能股份
600655.SH,豫园股份
600663.SH,陆家嘴
600685.SH,中船防务
600688.SH,上海石化
600699.SH,均胜电子
600704.SH,物产中大
600707.SH,彩虹股份
600711.SH,盛屯矿业
600737.SH,中粮糖业
600754.SH,锦江酒店
600763.SH,通策医疗
600764.SH,中国海防
600765.SH,中航重机
600801.SH,华新建材
600808.SH,马钢股份
600816.SH,建元信托
600820.SH,隧道股份
600848.SH,上海临港
600862.SH,中航高科
600863.SH,华能蒙电
600871.SH,石化油服
600873.SH,梅花生物
600879.SH,航天电子
600884.SH,杉杉股份
600885.SH,宏发股份
600901.SH,江苏金租
600906.SH,财达证券
600909.SH,华安证券
600927.SH,永安期货
600967.SH,内蒙一机
600968.SH,海油发展
600970.SH,中材国际
600977.SH,中国电影
600985.SH,淮北矿业
600988.SH,赤峰黄金
600995.SH,南网储能
600998.SH,九州通
601000.SH,唐山港
601001.SH,晋控煤业
601016.SH,节能风电
601019.SH,山东出版
601098.SH,中南传媒
601099.SH,太平洋
601106.SH,中国一重
601108.SH,财通证券
601112.SH,振石股份
601118.SH,海南橡胶
601128.SH,常熟银行
601139.SH,深圳燃气
601155.SH,新城控股
601156.SH,东航物流
601162.SH,天风证券
601179.SH,中国西电
601198.SH,东兴证券
601212.SH,白银有色
601216.SH,君正集团
601228.SH,广州港
601233.SH,桐昆股份
601236.SH,红塔证券
601298.SH,青岛港
601399.SH,国机重装
601555.SH,东吴证券
601567.SH,三星电气
601577.SH,长沙银行
601598.SH,中国外运
601608.SH,中信重工
601611.SH,中国核建
601615.SH,明阳智能
601665.SH,齐鲁银行
601666.SH,平煤股份
601696.SH,中银证券
601699.SH,潞安环能
601717.SH,中创智领
601799.SH,星宇股份
601808.SH,中海油服
601865.SH,福莱特
601866.SH,中远海发
601869.SH,长飞光纤
601880.SH,辽港股份
601928.SH,凤凰传媒
601958.SH,金钼股份
601966.SH,玲珑轮胎
601990.SH,南京证券
601991.SH,大唐发电
601997.SH,贵阳银行
603000.SH,人民网
603049.SH,中策橡胶
603077.SH,和邦生物
603087.SH,甘李药业
603092.SH,德力佳
603119.SH,浙江荣泰
603129.SH,春风动力
603156.SH,养元饮品
603160.SH,汇顶科技
603175.SH,超颖电子
603179.SH,新泉股份
603225.SH,新凤鸣
603233.SH,大参林
603256.SH,宏和科技
603290.SH,斯达半导
603298.SH,杭叉集团
603308.SH,应流股份
603338.SH,浙江鼎力
603341.SH,龙旗科技
603345.SH,安井食品
603379.SH,三美股份
603444.SH,吉比特
603486.SH,科沃斯
603529.SH,爱玛科技
603565.SH,中谷物流
603568.SH,伟明环保
603589.SH,口子窖
603596.SH,伯特利
603605.SH,珀莱雅
603606.SH,东方电缆
603650.SH,彤程新材
603658.SH,安图生物
603659.SH,璞泰来
603688.SH,石英股份
603699.SH,纽威股份
603728.SH,鸣志电器
603737.SH,三棵树
603766.SH,隆鑫通用
603786.SH,科博达
603806.SH,福斯特
603816.SH,顾家家居
603833.SH,欧派家居
603858.SH,步长制药
603885.SH,吉祥航空
603899.SH,晨光股份
603920.SH,世运电路
603939.SH,益丰药房
603979.SH,金诚信
605358.SH,立昂微
605589.SH,圣泉集团
688002.SH,睿创微纳
688017.SH,绿的谐波
688018.SH,乐鑫科技
688019.SH,安集科技
688027.SH,国盾量子
688037.SH,芯源微
688052.SH,纳芯微
688065.SH,凯赛生物
688099.SH,晶晨股份
688114.SH,华大智造
688120.SH,华海清科
688122.SH,西部超导
688166.SH,博瑞医药
688169.SH,石头科技
688172.SH,燕东微
688180.SH,君实生物
688187.SH,时代电气
688188.SH,柏楚电子
688192.SH,迪哲医药
688200.SH,华峰测控
688213.SH,思特威
688220.SH,翱捷科技
688234.SH,天岳先进
688235.SH,百济神州
688248.SH,南网科技
688266.SH,泽璟制药
688278.SH,特宝生物
688281.SH,华秦科技
688295.SH,中复神鹰
688297.SH,中无人机
688301.SH,奕瑞科技
688313.SH,仕佳光子
688318.SH,财富趋势
688322.SH,奥比中光
688331.SH,荣昌生物
688336.SH,三生国健
688343.SH,云天励飞
688347.SH,华虹宏力
688349.SH,三一重能
688361.SH,中科飞测
688363.SH,华熙生物
688375.SH,国博电子
688385.SH,复旦微电
688387.SH,信科移动
688411.SH,海博思创
688425.SH,铁建重工
688469.SH,芯联集成
